name,category,difficulty_level,calories_per_minute,is_popular,usage_count,wger_id,wger_category_id
Push-Up,chest,beginner,5.0,1,0,1551,11
Dumbbell Scaption,shoulders,beginner,5.0,1,0,1602,13
Dumbbell Chest Press,chest,beginner,5.0,1,0,1278,11
Cable Rear Delt Fly,shoulders,beginner,5.0,1,0,822,13
V-BAR PULL DOWNS,back,beginner,5.0,1,0,920,12
Head turns,shoulders,beginner,5.0,0,0,1007,13
High Knee Jumps,cardio,beginner,5.0,1,0,285,15
Barbell Triceps Extension,arms,beginner,5.0,1,0,50,8
Triceps Machine,arms,beginner,5.0,1,0,661,8
"Rowing seated, narrow grip",back,beginner,5.0,1,0,512,12
Crunches HD,abs,beginner,5.0,1,0,1319,10
TRX Tricep Extension,arms,beginner,5.0,1,0,1266,8
Walking,cardio,beginner,5.0,1,0,1104,15
Rear Delt Raises,shoulders,beginner,5.0,0,0,487,13
Plank,abs,beginner,5.0,1,0,458,10
Bird Dog,abs,beginner,5.0,1,0,1572,10
Leg curl with elastic,calves,beginner,5.0,1,0,1603,14
Skullcrusher SZ-bar,arms,beginner,5.0,1,0,246,8
Benchpress Dumbbells,chest,beginner,5.0,1,0,75,11
Knee to Chest Stretch,legs,beginner,5.0,1,0,1452,9
Curl de biceps con agarre prono,arms,beginner,5.0,1,0,1190,8
Incline Bench Press - Barbell,chest,beginner,5.0,1,0,538,11
Barbell Hip Thrust,legs,beginner,5.0,0,0,906,9
Skipping - Standard,cardio,beginner,5.0,1,0,595,15
Side Plank,abs,beginner,5.0,1,0,1321,10
Reverse Nordic Curl,legs,beginner,5.0,1,0,909,9
Cable External Rotation,shoulders,beginner,5.0,1,0,142,13
Cable Fly,chest,beginner,5.0,1,0,924,11
Chin Up,back,beginner,5.0,0,0,152,12
Recruitment Pulls,arms,beginner,5.0,0,0,1216,8
Lat Pull Down (Straight Back),back,beginner,5.0,1,0,355,12
Upper Back,back,beginner,5.0,1,0,1381,12
Facepull,shoulders,beginner,5.0,1,0,222,13
Chin tuck,back,beginner,5.0,0,0,1006,12
Bodyweight lunge HD,legs,beginner,5.0,1,0,1324,9
Left neck stretch,shoulders,beginner,5.0,0,0,1008,13
Backward shoulder rotation,back,beginner,5.0,0,0,1005,12
Diagonal Shoulder Press,shoulders,beginner,5.0,0,0,193,13
ClimbMill,cardio,beginner,5.0,1,0,1449,15
Seated rear delt rise,back,beginner,5.0,1,0,1098,12
Alternating bicep curls,arms,beginner,5.0,0,0,1012,8
Scapula Pulls,back,beginner,5.0,1,0,1435,12
Lateral Push Off,legs,beginner,5.0,1,0,1325,9
SEATED CABLE MID TRAP SHRUG,back,beginner,5.0,1,0,922,12
Dumbbell Hang Power Cleans,back,beginner,5.0,0,0,1087,12
Decline Bench Press Dumbbell,chest,beginner,5.0,1,0,186,11
Cable Press Around,chest,beginner,5.0,1,0,1457,11
Stair Master,cardio,beginner,5.0,1,0,1548,15
Ring Dips,arms,beginner,5.0,1,0,501,8
Seated Knee Tuck,abs,beginner,5.0,1,0,1105,10
Cycling,cardio,beginner,5.0,1,0,177,15
Scissors,abs,beginner,5.0,1,0,545,10
Deadhang,arms,beginner,5.0,0,0,182,8
Push-up rotations,arms,beginner,5.0,0,0,985,8
Box Squat,abs,beginner,5.0,1,0,977,10
Triceps stretch right,arms,beginner,5.0,1,0,1231,8
Incline Dumbbell Bench Press,chest,beginner,5.0,1,0,1276,11
Seated Cable Row,back,beginner,5.0,0,0,1117,12
Cable Woodchoppers,abs,beginner,5.0,1,0,145,10
Stair Master,cardio,beginner,5.0,1,0,1549,15
W-Raise,abs,beginner,5.0,1,0,1474,10
Wall Squat,legs,beginner,5.0,1,0,718,9
Patada de burro con mancuerna,legs,beginner,5.0,1,0,1616,9
Standing Rope Forearm,arms,beginner,5.0,0,0,623,8
rubber band glute kickback,legs,beginner,5.0,1,0,1613,9
Pin OHP,shoulders,beginner,5.0,1,0,1439,13
Hip Thrust,legs,beginner,5.0,1,0,294,9
Single Leg RDL,legs,beginner,5.0,1,0,1388,9
Shoulder dislocates,shoulders,beginner,5.0,0,0,1081,13
Push-Ups | Decline,chest,beginner,5.0,1,0,1112,11
Bodyweight Squat HD,legs,beginner,5.0,1,0,1315,9
Alternate back lunges,legs,beginner,5.0,1,0,1102,9
Machine chest fly,chest,beginner,5.0,1,0,926,11
Right neck stretch,shoulders,beginner,5.0,0,0,1009,13
Inverted Rows,chest,beginner,5.0,1,0,1198,11
Splinter Sit-ups,abs,beginner,5.0,1,0,607,10
L Hold,abs,beginner,5.0,0,0,382,10
Front pull wide,back,beginner,5.0,1,0,258,12
"Leg Raises, Standing",abs,beginner,5.0,1,0,378,10
Squats on Multipress,legs,beginner,5.0,1,0,341,9
Larsen Press,chest,beginner,5.0,1,0,1546,11
Bent Over Rowing Reverse,back,beginner,5.0,1,0,84,12
Side Slides + Squats,legs,beginner,5.0,1,0,1195,9
Mountain climbers,chest,beginner,5.0,0,0,996,11
"Rowing, T-bar",back,beginner,5.0,1,0,513,12
Sled Push,cardio,beginner,5.0,1,0,1523,15
TRX Obliques,abs,beginner,5.0,1,0,1259,10
Standing Dowel Shoulder press,shoulders,beginner,5.0,0,0,1575,13
Leverage Machine Chest Press,chest,beginner,5.0,1,0,379,11
Jumping Jacks,legs,beginner,5.0,1,0,320,9
Leg Press on Hackenschmidt Machine,legs,beginner,5.0,1,0,375,9
High knees,cardio,beginner,5.0,0,0,983,15
Cross-Body Cable Y-Raise,back,beginner,5.0,1,0,1458,12
Medicine ball booklet crunch,abs,beginner,5.0,1,0,976,10
Exercise Band Plantarflexion,legs,beginner,5.0,1,0,1242,9
Calf Raise with machine (seated),legs,beginner,5.0,0,0,1365,9
Recumbent Bike,cardio,beginner,5.0,1,0,1376,15
lying bicep curl,arms,beginner,5.0,1,0,1535,8
Lateral Walk,back,beginner,5.0,1,0,1514,12
Talons fesses,cardio,beginner,5.0,1,0,1285,15
Schoulder Raise (Dumbbell),shoulders,beginner,5.0,1,0,1338,13
Supine press,back,beginner,5.0,1,0,1583,12
Plate twist,abs,beginner,5.0,1,0,1079,10
"Shoulder Press, Dumbbells",shoulders,beginner,5.0,1,0,567,13
Rowing with TRX band,back,beginner,5.0,0,0,674,12
Sumo Deadlift,legs,beginner,5.0,1,0,630,9
Jerk OL,shoulders,beginner,5.0,1,0,1445,13
Shrugs on Multipress,shoulders,beginner,5.0,1,0,575,13
Pullover Machine,back,beginner,5.0,1,0,1384,12
Pullup on fingerboard,arms,beginner,5.0,0,0,821,8
